Francisco Thales Rocha Sousa,Brazil,704
Ekaterina Shutenko,Russia,704
Hill Pong Yong Feng,Malaysia,704
Omar Ellabban,Canada,703
Nguyễn Đức Tài,Vietnam,703
Pavel Galaktionov,Russia,703
Xinjie Shi (施鑫杰),China,703
Ilia Murmulyak,Russia,702
Qianhan Zhang (张乾翰),China,702
Aaron Ariff,Malaysia,702
Georgii Isanov (Георгий Исанов),Russia,702
Doyul Kim (김도율),Korea,701
Felipe Medel,Chile,701
Zhanat Kazez (Жанат Казез),Kazakhstan,701
Tripp Peters,USA,701
Chuhao Guo (郭楚昊),China,701
Wenzhuo Ji (季文卓),China,701
Dhruv Agarwal,India,701
Oscar Nieto,Colombia,701
Trương Khánh Tùng,Vietnam,700
Xiaojian Li (李晓健),China,700
Dary Leandro Wladimir Cano Galeano,Paraguay,700
William Gan Wei Ren (颜伟仁),Malaysia,700
Dante Jesus Arevalo Leal,Mexico,700
Kazuki Sakamoto (坂本一樹),Japan,700
Josué Ahmed González,Panama,700
Mannessah Kani,Australia,699
Chan Hui Tung (陳許瞳),Hong Kong,699
Martín Nicolás Fernández Olavarría,Chile,699
Zoso Lee Sturgeon,USA,699
Rodrigo Ugarte,Bolivia,699
Chen Yang (杨宸),China,698
Adil Lari,USA,698
Cormac Farrell,United Kingdom,698
Simone Cilia,Italy,698
Jorge Luis Castillo Carrasco,Mexico,697
Travis Burkett,USA,697
Yunqi Ouyang (欧阳韵奇),China,697
Tomoya Iida (飯田朋也),Japan,697
Kamal Kandpal,Canada,697
Do Hyun Kwon (권도현),Korea,696
Zihan Zhang (张子涵),China,696
Danila Ryabinin,Russia,696
Lawrence Nichols,USA,695
Ariunbold Bayanmunkh (Баянмөнх Ариунболд),Mongolia,695
Daniel Tabares Pavas,Colombia,695
Yujian Song (宋雨键),China,695
Kristoffer Vasehus,Denmark,695
Vinny Vecchio,USA,695
Samuel Knoll,USA,694
Artemiy Alyabev,Russia,694
Carter Bitz,USA,694
Phillip Hoff,USA,694
Andrés Hisashi Suzuki,Peru,693
Tianze Liu,China,693
Ricardo Sanchez Laurencio,Peru,693
Cory Yurkovic,USA,692
Sarp Abaç,Turkey,692
Geordan Nicholson,Australia,692
Andrew Reich,USA,692
Amy Smith,Australia,692
Calvin Nielson,USA,692
Glib Vedmid,Ukraine,691
Hongtong Zhu (朱泓同),China,691
Ainesh Sevellaraja,Malaysia,691
Jeremy Benik,USA,691
Frederiks Rūdolfs Kronbergs,Latvia,690
Alex Loor,Ecuador,690
Stephen Griggs,USA,690
Carlos Tapp,Spain,690
Henrique Lima Mendes,Brazil,690
Drew Brads,USA,689
Louis Rodriguez,Venezuela,689
Michael Kevin Astudillo Muñoz,Ecuador,689
Oliver Stremmelaar,Finland,689
Juan de Dios Noriega Sánchez,Mexico,689
Zhourun Yang (杨周润),China,689
Joon Song,Canada,689
Wei-Ming Zeng (曾唯銘),Taiwan,689
Lei Liu (刘磊),China,688
Jak Fernando Essau Morales Garcia,Guatemala,688
Rey David Ibarra Parragil,Mexico,688
Callum Hales-Jepp,United Kingdom,687
Linus Kunath,Germany,687
Kajetan Opach,Poland,687
Marco Aurélio Barbosa Braga Dantas,Brazil,687
Axel Brisse,France,686
Nick Nijssen,Netherlands,686
Danny SungIn Park,Korea,686
Alikhan Yertursyn (Алихан Ертурсын),Kazakhstan,686
Gunnar Kilborn,Sweden,686
Liam Orovec,Canada,686
Nicolas Andres Quevedo Bahamondes,Chile,685
Teo Bin Jie (张斌杰),Singapore,685
Eder Olivencia Gonzalez,Spain,685
Kate Grahame,USA,685
Aneurin Hunt,New Zealand,685
Benjamin Joseph Baker,USA,685
Eduardo de Carvalho Vieira,Brazil,685
Jacob Nobili,USA,685
Shao-Heng Hung (洪紹恆),Taiwan,684
Aaron Du,USA,684
Zayn Khanani,USA,684
Gabriel Neufeld,Canada,683
Altanbagana Altangerel (Алтангэрэл Алтанбагана),Mongolia,683
Mark Bennis,Netherlands,683
Ethan Pride,Australia,683
Joshua Oosterhouse,USA,683
Quan Nguyen,Australia,683
Ashley Biddiscombe,Canada,682
Maxim Kudryashov (Максим Кудряшов),Russia,682
Jack Maddigan,New Zealand,682
Vadzim Smirnou,Belarus,682
Dmitry Kryuzban,Russia,682
Mihnea Andrei Panţu,Romania,681
Nikolaus Lindinger,Austria,680
Wojciech Barciaga,Poland,680
Armando Dian,Malaysia,680
Dongquan Chen (陈东权),China,680
Abraham Ismael Hernandez Sabido,Mexico,679
Jennifer Rodríguez Domínguez,Spain,679
Sooho Lee (이수호),Korea,679
Devon Barker,New Zealand,679
Cezary Mach,Poland,678
Sergio Emmanuel Sanchez Rodriguez,Mexico,678
Ray Bai,USA,678
Pedro Henrique de Jesus Silva,Brazil,678
Alejandro Daniel Salceda Corvera,Mexico,678
Brody Meschke,USA,678
Tianhang Xu (许添杭),China,677
Christian Foyle,Australia,677
Cuauhtémoc Velasco Xolalpa,Mexico,677
Marc Tol,Netherlands,677
Dev Agarwal,India,677
Pedro Henrique Maciel Ceccopieri Belo,Brazil,677
Daniel Rodríguez Espinosa,Spain,677
Mantas Urbanavičius,Lithuania,677
Andrew Karbusicky,USA,676
Bartosz Krogul,Poland,676
David Pantović,Montenegro,676
Rūdolfs Dubovs,Latvia,676
Simon Westlund,Sweden,676
Bryce Maragni,USA,675
Kyle Van Straaten,Canada,675
Daiven Strom,USA,675
Sukant Koul,India,675
Olivera Radovanović,Serbia,675
Claudio Andre Gomez Villca,Bolivia,674
Sergio de la Mora García,Mexico,674
Lev Maslov,Russia,674
Pranav Prabhu,India,673
Henry Lichner,USA,673
Dmitrii Dusheiko (Дмитрий Душейко),Russia,673
Benyu Hou (侯本余),China,673
Sam van Vliet,Australia,673
Joaquim Reeves,USA,673
Nan Zhang (张楠),China,673
Liam Brown,Australia,673
Jinseo Hong,Korea,673
Jonathan Pugsley,United Kingdom,673
Sam Adams,USA,672
Nguyễn Ngọc Thịnh,Vietnam,672
Callum Goodyear,United Kingdom,672
Nate Mochrie,New Zealand,672
Cel Adriane Lalo,Philippines,672
Page Tan,USA,672
Kevin Mendez,Colombia,672
Darby Lee,Australia,671
Stanisław Dąbrowski,Poland,671
Juan Manuel Bedoya Pimienta,Colombia,670
Lucas O'Connell,New Zealand,670
Aedan Bryant,USA,670
Orgil Otgonbayar (Отгонбаяр Оргил),Mongolia,670
Evan Dueck,Canada,670
Simon Stannek,Germany,670
Joanna Hołdakowska,Poland,669
Hilarry Henry,Malaysia,669
Rhys Lloyd,Australia,669
Nikita Starodubov,Belarus,668
Lir Ukaj,France,668
Ryan Pin Harry,Canada,668
Diego Brizuela Crespo,Mexico,668
Nursalim Baltabaev (Нурсалим Балтабаев),Kazakhstan,668
Peter Grassard,France,668
Álvaro González Vizuete,Spain,667
Damiano Di Paola,Italy,667
Arthur Wallem,Belgium,667
Eason Siew Ee Son (蕭奕晨),Malaysia,666
Seth Baulch,Australia,666
Cyrus Wong Yuk Chi (黃昱誌),Hong Kong,666
Jason Harley,United Kingdom,666
Dominik Vidaković,Croatia,666
James Olarte,USA,665
Anthony Lafourcade,France,665
Tim Wong,USA,664
Serena Jones,New Zealand,664
Yezhen Han (韩业臻),China,664
Ivan Miletić,Serbia,664
Tomáš Szyszkowicz,Czech Republic,664
Timur Imanov,Russia,663
Yanqing Fang (方彦卿),China,663
Rūdolfs Vanags,Latvia,663
Martin Fronescu,Romania,663
Kevin Nicolás Reyes Goya,Ecuador,662
Victor Emilio Machado,Ecuador,662
Kent Thomson,Australia,662
Jinze Li (李金泽),China,662
Jonah Crosby,USA,662
Jonathan Chng,Singapore,662
Samantha Raskind,USA,662
Kristopher De Asis,Canada,662
Bo Wang (王擘),China,662
Marcel Nycz,Poland,661
Jascha Bakarinow,Germany,661
Noah Swor,USA,661
Liam Harrison Bliss,USA,661
Sheng-Wen Wang (王聖文),Taiwan,661
Aral Askarov,Kazakhstan,661
Paweł Duraj,Poland,661
Graham Lively,USA,661
Mateusz Litka,Poland,661
John Eppley,USA,661
Caleb Clark,Australia,661
JJ Bartlett,USA,660
