name,country,444bf
Hongyuan Tang (唐鸿远),China,488
Ilya Kerymov (Ілля Керимов),Ukraine,488
Katsuki Takahashi (高橋勝紀),Japan,488
Luca Rannisi,Italy,487
Sebastian Outh-Aut,Australia,487
Yash Mehta,India,486
Jackson Palmer,USA,486
Kevin Matthews,Canada,486
Fabian Settelen,Switzerland,484
Andrei Solntsev,Estonia,484
Mikhail Kuzin,Russia,482
Jakub Hamkało,Poland,482
Jonathon Griffith,USA,481
Lichao Liu (刘立超),China,481
Samuel Simko,Slovakia,481
Nicholas Fogo,Australia,480
Artyom Martirosov,Russia,479
Alex Agranov,USA,479
Heejun Kim (김희준),Korea,479
Axel Flordal,Sweden,479
Aldrin Alba Soria,Bolivia,479
Delphine Tran (Ngọc Phượng Vĩ Trần),France,479
Jaden Dao,USA,479
Saiyam Jain,India,478
Conlan Trace,USA,477
Lee Hoween,Malaysia,476
Robert Paus,Germany,476
Abylai Orazalin (Абылай Оразалин),Kazakhstan,476
Jérôme Carlier,Belgium,475
Yeeun Park (박예은),Korea,474
Hellen Ding,New Zealand,474
Timothy Goh,USA,473
Yuji Yoshida,Philippines,473
Peter Preston,USA,473
William Jensen,Sweden,472
Connor Yungbluth,USA,472
Leonardo Ezequiel Cruz,Argentina,472
Wong Chong Wen (黄崇文),Singapore,471
Raluca Ioana Grigoraș,Romania,471
Guowei Sun (孙国卫),China,471
Kayla Brown,USA,471
Joseph Pasterski,USA,471
Lucas Garron,Germany,470
Balázs Polyák,Hungary,470
Michael Larsen,USA,470
Marco Yang,Canada,470
Ben Whitmore,United Kingdom,469
Chris Hardwick,USA,469
Jiachi Han (韩佳池),China,468
Nathan Daviaud,France,467
Alex Walker,USA,467
Milan van Wanrooij,Netherlands,466
Damir Zhanataev (Дамир Жанатаев),Kazakhstan,465
Daniel Karnaukh,USA,465
Yoni Strassberg,Israel,465
Tom Maguire,Australia,465
Zian Song (宋子安),China,465
Isaac Langer,USA,464
Berta García Parra,Spain,464
Tomohiro Kobayashi (小林知広),Japan,464
Liang Zhang (张亮),China,463
Hassan Khanani,USA,463
Cameron Stollery,Australia,463
Andrew Rizo,USA,463
John Leeds,USA,462
Wajdi Omrani,Tunisia,462
Mikołaj Morawski,Poland,461
Gianfranco Huanqui,Peru,461
Selim Makni,Tunisia,459
Lucas O'Connell,New Zealand,459
Liew Yee Voon (劉倚文),Malaysia,459
Joel Hernández,El Salvador,459
Anders Berggren,Sweden,459
Ruben Grobler,South Africa,458
Jorge Manuel Lira Ibarra,Mexico,458
Stephen Huan,USA,457
Modest Podzolkin,Ukraine,457
Will Cerne,USA,457
Cendy Cahyo Rahmat,Indonesia,457
Erick Amaro Hernandez,USA,456
Christian König,Germany,455
Riley Dexter,Australia,455
Jake Klassen,Canada,455
Antoine Cantin,Canada,455
Thomas Bevan,United Kingdom,455
Jake M. Hanson,USA,454
Ivo Bakker,Netherlands,454
Ciarán Beahan,Ireland,453
Dušan Zakelšek,Slovenia,452
Jang Seok Won (장석원),Korea,452
Wilson Alvis (陈智胜),Indonesia,452
Nikolay Masson (Николай Массон),Russia,451
Lorenzo Vigani Poli,Italy,451
Hasabi Sailendra,Indonesia,451
Shelley Chang,USA,451
Andrey Ivanov,Russia,451
Blake Thompson,USA,450
Tiago Zamberlan,Brazil,450
Feilong Tang (唐飞龙),China,450
Mara Oprea,Romania,450
Deni Mintsaev (Дени Минцаев),Russia,449
James Molloy,United Kingdom,449
Ole Nikolai Gjerset,Norway,448
Eric Limeback,Canada,448
Nikhil Mande,India,448
Jakub Lorens,Poland,448
Dan Tran,USA,447
Choi Hyo-jin (최효진),Korea,447
Jacob Posner,USA,446
Lionel Malloggi,France,445
Timon Veurink,Netherlands,445
Jeff Park,USA,444
Kamil Michalak,Poland,444
Riku Akiyama (秋山吏玖),Japan,444
Mykyta Prytyko (Микита Притико),Ukraine,443
Ben Keogh,Ireland,443
Lindsay Hans,South Africa,442
Peter Åberg,Sweden,442
Sebastian Alanen,Sweden,442
Cary Huang,USA,442
Hargun Singh Tikku,India,441
Jack Pfeifer,USA,441
Chris Choi,USA,441
Olivier Vos,Netherlands,440
Yifan Zhuang (庄一凡),China,439
Tommy Kiprillis,Australia,439
Chad Harris,USA,438
Grzegorz Pacewicz,Poland,438
Damian Wilding,USA,437
Brent Silkyn,Belgium,437
Taylor Cookmeyer,USA,436
David Epstein,Australia,436
Remo Pihel,Estonia,435
Aniketh Arya,India,435
Boqin Zhao (赵博钦),China,434
Aurelien Marion,Belgium,434
Alexandre Henrique Afonso Campos,Brazil,434
Martin Fronescu,Romania,434
Zack Hobbs,USA,434
Paris Dorn,Canada,433
