name,country,sq1
Luke Pearson,USA,771
Daniël Veldman,Netherlands,771
Oliver Hoy,Australia,771
Jonathan Dammann,France,771
Caleb Pelster,USA,771
Juan Fausta Pringadi,Indonesia,771
Jack Sutton,Australia,771
Oliver Fisk,United Kingdom,771
Daniel Quiñones Olgado,Peru,771
Bùi Minh Đức,Vietnam,771
Gabriel Lincon Souza,Brazil,770
Junkai Yang (杨竣凯),China,770
Yusuf Güzeler,Turkey,770
Damiano Di Paola,Italy,770
Dmitry Obukhov,Russia,770
Henri Gerber,Germany,770
Ziyue Yang (杨子跃),China,770
Unubold Altanzul,Mongolia,770
Junseop Kim (김준섭),Korea,770
Tiancai Zhu (朱田才),China,770
Jackson Moorhead,New Zealand,770
Alexei Sinyavin,USA,769
Maksymilian Kulas,Poland,769
Karol Kantor,Poland,769
Przemysław Rogalski,Poland,769
Szymon Bereza,Poland,769
Michael Larsen,USA,768
Miguel Antonio Fernandez Guerrero,Dominican Republic,768
Frederick Zheng,USA,768
Charles Jerome,USA,768
Sukant Koul,India,768
Jan Bielenia,Poland,768
Chenchen Ge (葛陈晨),China,767
Darcy Way,Australia,767
Destin Shulfer,USA,767
Will Fairfax,New Zealand,767
Lev Bruskov (Лев Брусков),Russia,767
Federico Da Fonseca,Argentina,767
Isaac Latta,New Zealand,767
Luke Griesser,USA,766
Antoine Piau,France,766
Chia-Liang Tai (戴嘉良),Taiwan,766
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,766
Yurii Riabov (Юрій Рябов),Ukraine,766
Jack Larsson Backsell,Sweden,766
Peter Grassard,France,766
Bertie Longden,United Kingdom,766
Aaron Do,USA,765
Mátyás Ondok,Hungary,765
Sam Datson,Australia,765
Guus de Wit,Netherlands,765
Catharina Nguyen,Denmark,765
Gamaliel Jimenez Oropeza,Mexico,765
Yuri Donati,Italy,765
Muhammad Faeyza Koda,Indonesia,765
Roberts Dreijers,Latvia,765
Wojciech Kisała,Poland,765
Maxim Meshcheryakov,Russia,765
Nicholas Patterson,Canada,765
Leeah Gard-Spaulding,Australia,764
Nicolas Gertner,France,764
Francisco Moraes Mandalozzo,Brazil,764
Svyatoslav Chekalin (Святослав Чекалин),Russia,764
Hudson Akarlilar,USA,763
Hudson Moore,USA,763
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,762
Arnav Arora,India,762
Igor Tarasov (Ігор Тарасов),Ukraine,762
Frederico Canal Gomes,Brazil,762
Oliver Fritz,Germany,762
Emil Khalimov,Russia,761
Matthias Schegers,Belgium,760
Karam Al-Robaie,United Kingdom,760
Alisher Soltan (Алишер Солтан),Kazakhstan,760
Gjorgji Cheshmedjievski,North Macedonia,760
Danil Skoromec,Russia,760
Dawid Mazurek,Poland,760
Aryan Kejriwal,USA,760
Yu-Kai Chen (陳宇楷),Taiwan,760
Carter Thomas,USA,760
Ihor Voloshyn (Ігор Волошин),Ukraine,759
Germán Yesid Cardona Fajardo,Colombia,759
Vladimir Khisamov (Владимир Хисамов),Russia,759
Tripp Peters,USA,759
Phùng Đức Thắng,Vietnam,759
