name,country,skewb
Dmitriy Truhin (Дмитрий Трухи́н),Russia,919
Steller Schutt,USA,918
Leo Z. Liu,Australia,918
Vyacheslav Sizov,Russia,918
Mihai Căpăţinescu,Romania,918
Emil Elghorn,Sweden,918
Katie Davies,United Kingdom,917
Denniel M. Santos,Philippines,917
Francis Daniels Veğeris,Latvia,917
Chengda Ge (葛成达),China,917
Axton Cummings,USA,917
Michele Cavezza,Canada,917
Mika Smulders,Netherlands,917
Maximus Ferrier,Australia,917
Martin Fronescu,Romania,917
Thomas Bennis,Netherlands,916
Muhammad Faeyza Koda,Indonesia,916
Ruchen Xie (谢汝忱),China,916
Christopher Hinkle,USA,915
Aedan Bryant,USA,915
Alex Wheeler,USA,915
Clément Cherblanc,France,915
Nathan Smith,USA,915
Cody Caston,Australia,915
RJ Gohn,USA,914
Luke Heath-Edwards,New Zealand,914
Harry Healey,Australia,914
Roberts Dreijers,Latvia,914
Mason Langenderfer,USA,914
Oliver Lane,Australia,914
Luis Angel Huerta Barrales,Mexico,914
Emmet Hobbs,Australia,914
Lucas Nieuwland,Canada,914
Minn Aung,Australia,913
Abhishek Krishnan Gopal Ramshanker,India,913
Sean Hartman,USA,913
Ian Southa,USA,913
Shangfeng Li (李尚峰),China,913
Jinseo Hong,Korea,913
Emilio Alberto Rodríguez Jiménez,Mexico,913
Ben Kirby,New Zealand,912
Luke Marsh,Australia,912
Jeff Miao,China,912
Jaylen Zhang,Canada,912
Braden Richards,USA,912
Amelie Dieterich,Germany,912
William Barlow,New Zealand,912
Alexey Kislovskiy,Russia,912
Hannah Minas,Switzerland,911
Matteo Dummar,Italy,911
Brady James Potter,USA,911
Jukka Geisler,Germany,911
Avshalom Sharavani,Israel,911
Aayush Mishra,India,911
Pavel Galaktionov,Russia,911
Baden Forster,Australia,910
Anthony Qi,Australia,910
Costea Livadari,Moldova,910
Xianglong Gao (高向龙),China,910
Yubo Ji (纪宇博),China,910
Alexander Karlov,Sweden,910
