Delegate,Scrambles,E[Moves],4 moves,5 moves,6 moves,7 moves,8 moves,9 moves,10 moves,11 moves
Daniel Lo,189,8.85,0,0,1,9,39,108,32,0
Julien Gaboriaud,28,8.39,0,0,3,2,6,15,2,0
Kong Chai Chen,49,8.69,0,1,2,3,9,24,10,0
Jean-Louis Mathieu,182,8.79,0,0,3,9,43,95,32,0
Shuhei Omura (大村周平),175,8.76,0,0,2,9,50,82,32,0
Jayden McNeill,63,8.59,0,0,2,11,10,28,12,0
David Edwards,175,8.73,0,0,3,12,45,85,30,0
Mitchell Lane,28,8.82,0,1,0,0,4,20,3,0
Luke Heath-Edwards,175,8.86,0,0,4,9,36,84,42,0
Clément Gallet,49,8.73,0,0,2,2,13,22,10,0
Kou Oobatake (大畠功),168,8.81,0,1,2,6,37,95,27,0
Georel Ulangkaya,42,8.71,0,0,0,1,16,19,6,0
Daniel Hayes,168,8.61,0,0,5,12,45,88,18,0
Mahmoud Ibrahim,28,8.89,0,0,0,1,8,12,7,0
Valfrido Torres Quintanilha Netto,168,8.85,0,0,1,10,35,89,33,0
Chatchawan Jaruwattanakun (ชัชวาลย์ จารุวัฒนกุล),161,8.76,0,0,0,6,50,81,24,0
Bradley Sampson,161,8.68,0,1,2,12,42,80,23,1
Pauline Bonnaudet,238,8.78,0,1,4,12,48,138,35,0
Kevin Antony Tello Delgado,189,8.83,0,0,2,10,46,91,40,0
Kirby Jay Caragan,154,8.82,0,0,2,8,35,80,28,1
Tanai Chaikraveephand (ธนัย ชัยกระวีพันธ์),147,8.81,0,0,1,5,39,78,24,0
Aleksandar Arsovski,42,8.67,0,1,1,3,5,28,4,0
Elias Miguel Acosta Acosta,35,8.83,0,1,1,0,8,16,9,0
Zhou Yichen (周奕臣),147,8.88,0,0,0,13,25,76,33,0
Augusto Rosa Esteves,315,8.77,0,1,2,26,67,164,55,0
Mike DeCock,462,8.75,0,3,5,30,104,243,77,0
Jim Mertens,322,8.76,0,1,5,18,86,148,64,0
Jun-Yi Guo (郭君逸),322,8.71,0,2,6,23,73,166,52,0
Jose Abanto Ortiz,1022,8.73,0,1,17,65,253,522,163,1
Edward Hollingdale,1015,8.73,0,2,15,63,263,499,173,0
Radosław Drozdowicz,1050,8.79,0,0,10,69,243,542,184,2
Sachin Arvind,952,8.8,0,0,10,53,212,518,157,2
Philippe Lucien,952,8.73,0,5,20,53,236,470,167,1
Antoine Piau,1022,8.79,0,2,14,56,256,491,202,1
Wojciech Szatanowski,931,8.73,0,2,10,73,225,459,162,0
Dene Beardsley,931,8.74,0,0,10,73,236,443,169,0
David Lim,924,8.7,0,5,16,57,253,440,149,4
Joshua Feran,903,8.76,0,2,10,61,218,451,161,0
John Edison Ubaldo,902,8.8,0,1,7,53,217,460,163,1
Hippolyte Moreau,868,8.76,0,4,15,49,210,433,157,0
Vidar Norstein Klungre,924,8.78,0,5,11,52,213,479,164,0
Pedro Santos Guimarães,861,8.78,0,1,9,52,197,460,142,0
James LaChance,854,8.74,0,1,11,70,192,433,147,0
Sam Spendla,791,8.79,0,4,10,39,187,408,140,3
Ricardo Piotti,763,8.69,0,2,14,47,205,383,112,0
Leow Yi Jun (廖艺畯),763,8.81,0,3,4,40,180,399,137,0
Zachary White,812,8.78,0,4,9,50,179,433,134,3
Juan Camilo Vargas,735,8.78,0,2,10,44,166,386,127,0
Takayuki Ookusa (大艸尊之),728,8.75,0,2,10,41,177,386,112,0
Tomasz Żołnowski,721,8.8,0,1,6,50,146,394,124,0
Shonathon Collins,709,8.73,0,1,11,52,171,355,119,0
Jorge Contento,686,8.73,0,0,12,36,170,375,92,1
Wilson José Duarte Espitia,679,8.78,0,1,13,40,151,347,127,0
Axel Lifschitz,679,8.72,0,2,10,42,180,334,110,1
Wilson Alvis (陈智胜),672,8.83,0,3,3,40,141,356,129,0
Wang Junwen (王俊文),665,8.85,0,0,7,31,141,360,126,0
Thaynara Santana de Oliveira,637,8.84,0,3,8,30,141,323,132,0
Felipe Andres Rojas Garces,1036,8.75,0,1,14,79,229,535,178,0
Joel Hernández,1050,8.79,0,3,12,53,255,536,190,1
Ilkyoo Choi (최일규),1099,8.75,0,2,19,66,256,584,171,1
Tim McMahon,1414,8.74,0,1,14,111,353,686,249,0
Baiqiang Dong (董百强),2968,8.75,0,8,43,195,697,1523,499,3
Cendy Cahyo Rahmat,2531,8.76,0,4,32,168,587,1304,434,2
Nikhil Mande,2513,8.76,0,5,33,137,614,1314,407,3
Xiaobo Jin (金晓波),2093,8.75,0,7,36,132,493,1065,357,3
Philippe Virouleau,2170,8.76,0,7,28,128,520,1128,357,2
Ron van Bruchem,2044,8.78,0,6,25,121,468,1074,347,3
Daniel James,2009,8.72,0,6,34,128,477,1067,297,0
Alberto Pérez de Rada Fiol,1855,8.78,0,3,22,106,436,975,311,2
Tomi Ronkainen,1778,8.76,0,6,18,103,433,934,282,2
Linus Frész,1603,8.74,0,5,24,92,404,809,268,1
Walker Welch,1533,8.76,0,6,17,93,358,809,250,0
Corey Sakowski,1512,8.73,0,5,20,105,350,794,237,1
Chen Kang (亢晨),1456,8.76,0,2,25,88,341,752,248,0
Chris Krueger,1393,8.76,0,1,16,88,337,722,228,1
Gianluca Placenti,1204,8.81,0,4,16,65,259,639,221,0
Simone Cantarelli,1470,8.76,0,3,23,93,335,764,252,0
Ronan Felipe Jorge,1365,8.75,0,4,19,88,326,691,237,0
Ton Dennenbroek,1362,8.77,0,4,15,84,315,710,231,3
Ryan Jew,1379,8.75,0,2,18,86,331,720,221,1
Zachary Garber,1351,8.78,0,4,13,77,324,700,232,1
Sebastian Robbins,1330,8.74,0,5,17,84,322,684,218,0
Donglei Li (李冬雷),1295,8.7,0,2,18,93,340,640,202,0
Ethan Pride,1239,8.75,0,2,17,93,285,623,219,0
Chenxi Shan (单晨曦),1218,8.79,0,2,15,72,283,627,218,1
Brandon Harnish,1218,8.76,0,4,12,71,295,650,181,5
Helar Gomez Chalco,1162,8.75,0,2,16,73,294,577,199,1
Evan Liu,1267,8.77,0,3,21,74,303,634,230,2
Siva Shanmukh Vetcha,1127,8.78,0,1,14,60,275,582,195,0
Olli Vikstedt,693,8.74,0,3,10,49,157,356,116,2
Geert Bicler,630,8.79,0,3,10,38,146,306,125,2
Murillo Gomes Otero,623,8.81,0,0,10,41,130,320,122,0
Anthony Brooks,350,8.71,0,0,3,22,100,173,52,0
Paulo Guillén,420,8.68,0,1,10,36,101,199,72,1
Kåre Krig,420,8.77,0,0,4,29,98,219,70,0
Yohei Suzuki (鈴木洋平),399,8.8,0,1,5,19,93,210,71,0
José Garrido,399,8.71,0,0,11,27,86,218,56,1
AJ Blair,392,8.67,0,0,9,27,104,197,55,0
Ayush Kumar,392,8.79,0,1,1,22,100,200,68,0
Mehdi Pourmotalleb (مهدی پورمطلب),389,8.76,0,1,5,24,89,208,62,0
Edrian Oralde Tepait,386,8.81,0,2,3,22,83,204,72,0
Dana Yi,385,8.75,0,0,7,25,87,204,61,1
Björn Korbanka,385,8.75,0,2,4,19,100,198,62,0
Mohamed Ali Bizid,385,8.73,0,4,5,25,83,207,61,0
Zak Kenny,406,8.72,0,0,3,26,116,198,63,0
Caleb Hoover,399,8.72,0,1,4,30,98,204,62,0
Sakae Tokuda (徳田栄),350,8.8,0,2,5,17,80,181,64,1
Liam Sweet,427,8.8,0,0,4,23,99,229,72,0
Seth Talbot,350,8.76,0,2,3,19,84,186,56,0
Luis David Hernández Mejía,350,8.69,0,1,5,26,88,179,51,0
James Macdiarmid,343,8.79,0,1,5,22,73,179,63,0
Kei Suga (須賀慶),343,8.77,0,1,3,20,85,174,60,0
Dominik Vidaković,371,8.79,0,1,5,28,85,171,81,0
Lars Vandenbergh,336,8.81,0,2,4,20,76,164,69,1
James Stephen Sarmiento Cubarol,336,8.76,0,0,4,23,76,180,53,0
Bille Janssen Lagarde,336,8.82,0,0,2,20,73,182,59,0
Manu Vereecken,378,8.78,0,2,5,23,86,189,73,0
Jared Stinson,336,8.76,0,1,4,25,80,163,62,1
Loïc Petit,329,8.8,0,1,4,11,84,172,57,0
Claudio Gonzalez,325,8.71,0,1,3,20,95,153,53,0
Sam Schultz,322,8.8,0,0,4,15,88,149,65,1
Micah Stairs,420,8.73,0,2,8,20,113,209,66,2
Charlie van Ooran,504,8.73,0,0,4,33,138,250,79,0
Jernej Omulec,616,8.77,0,1,8,39,148,305,115,0
Arthur Adams,525,8.74,0,1,5,29,133,283,74,0
Toan Do Cong,612,8.72,0,0,3,38,174,311,86,0
Nancy Hartman,644,8.78,0,0,7,49,143,325,119,1
Lina Tissier,602,8.79,0,3,9,22,160,293,114,1
Jae Park,623,8.75,0,0,9,49,149,298,118,0
Tomas Jankauskas,581,8.72,0,2,7,45,127,316,83,1
Ivo Kruusamägi,606,8.73,0,4,10,37,154,291,110,0
Hoe Zi Yang,567,8.81,0,1,8,34,127,280,117,0
Chris Brotzman,560,8.77,0,0,5,41,131,283,99,1
Matthew McMillan,560,8.75,0,0,11,25,148,289,85,2
Aldo Feandri,553,8.81,0,1,5,35,128,274,110,0
Swaminathan Chandrasekaran,539,8.71,0,0,7,28,154,275,74,1
Bruno Mapelli,539,8.73,0,3,7,42,119,280,87,1
Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),532,8.78,0,0,11,32,122,267,100,0
Brandon Mikel,518,8.82,0,0,6,34,109,267,102,0
James Benedict Cañares,432,8.75,0,1,5,34,99,215,78,0
Kevin Matthews,504,8.75,0,3,5,33,105,288,69,1
Hung Lo (羅鴻),483,8.76,0,1,12,25,110,250,85,0
Kian Barry,483,8.71,0,3,7,42,108,237,86,0
